City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
201,Tiznit,MA,2022-05-18 17:26:35,29.5833,-9.5,78.17,42,0,8.66
202,Marsala,IT,2022-05-18 17:25:01,37.7966,12.4352,78.89,78,0,13.8
203,Nuevo Progreso,MX,2022-05-18 17:26:36,23.1667,-97.95,92.53,41,44,15.57
204,Ndioum,SN,2022-05-18 17:25:19,16.5129,-14.6471,111.09,6,58,12.12
205,Verneuil-Sur-Seine,FR,2022-05-18 17:26:36,48.9739,1.9648,83.01,47,0,9.22
206,Xining,CN,2022-05-18 17:16:53,36.6167,101.7667,49.96,75,62,3.0
207,Ketchikan,US,2022-05-18 17:19:24,55.3422,-131.6461,48.67,87,100,8.05
208,Fairbanks,US,2022-05-18 17:16:32,64.8378,-147.7164,50.31,54,20,5.75
209,Saldanha,ZA,2022-05-18 17:26:38,-33.0117,17.9442,59.05,91,95,9.53
210,Balkhash,KZ,2022-05-18 17:26:38,46.844,74.9804,68.56,54,58,8.5
211,Minudasht,IR,2022-05-18 17:26:38,37.2289,55.3747,68.32,77,75,4.61
212,Souillac,MU,2022-05-18 17:19:31,-20.5167,57.5167,73.78,88,40,9.22
213,Coihaique,CL,2022-05-18 17:26:39,-45.5752,-72.0662,41.61,75,0,5.75
214,Portland,US,2022-05-18 17:26:39,45.5234,-122.6762,52.61,88,100,11.5
215,Bima,ID,2022-05-18 17:26:40,-8.4667,118.7167,76.21,93,95,2.91
216,Upernavik,GL,2022-05-18 17:15:13,72.7868,-56.1549,25.14,79,6,9.35
217,Nautla,MX,2022-05-18 17:26:41,20.2167,-96.7833,87.89,55,1,10.87
218,Staraya Toropa,RU,2022-05-18 17:26:41,56.2801,31.6702,49.98,67,81,5.97
219,Palmer,US,2022-05-18 17:19:35,42.1584,-72.3287,70.43,26,40,9.22
220,Adre,TD,2022-05-18 17:26:42,13.4667,22.2,92.14,15,97,5.19
221,Tsogni,GA,2022-05-18 17:26:43,-2.7942,10.0988,78.15,85,35,7.72
222,Isangel,VU,2022-05-18 17:19:33,-19.55,169.2667,76.82,86,100,16.8
223,Geraldton,AU,2022-05-18 17:18:04,-28.7667,114.6,59.41,88,28,11.5
224,Provideniya,RU,2022-05-18 17:27:43,64.3833,-173.3,36.14,93,100,6.49
225,Hulan,CN,2022-05-18 17:27:44,45.9833,126.6,59.11,33,34,12.59
226,Kahului,US,2022-05-18 17:19:25,20.8947,-156.47,77.02,78,20,9.22
227,Luderitz,NA,2022-05-18 17:27:45,-26.6481,15.1594,62.89,75,44,3.58
228,Yulara,AU,2022-05-18 17:27:45,-25.2406,130.9889,55.45,87,100,9.04
229,Vila Velha,BR,2022-05-18 17:27:46,-20.3297,-40.2925,78.75,57,75,11.5
230,Constitucion,CL,2022-05-18 17:27:47,-35.3333,-72.4167,59.65,67,40,4.14
231,Estacion Coahuila,MX,2022-05-18 17:27:47,32.1939,-115.0017,83.84,25,0,9.01
232,Acapulco,MX,2022-05-18 17:23:00,16.8634,-99.8901,85.82,54,20,4.61
233,Vostok,RU,2022-05-18 17:27:48,46.4856,135.8833,38.05,61,0,5.55
234,Paso De Los Toros,UY,2022-05-18 17:27:48,-32.8167,-56.5167,58.87,57,83,16.22
235,Port Keats,AU,2022-05-18 17:27:49,-14.25,129.55,74.1,76,2,3.6
236,Kavaratti,IN,2022-05-18 17:27:49,10.5669,72.642,83.46,80,100,17.09
237,Chuy,UY,2022-05-18 17:19:22,-33.6971,-53.4616,59.68,69,58,17.49
238,College,US,2022-05-18 17:27:50,64.8569,-147.8028,50.29,54,40,5.75
239,Mandalgovi,MN,2022-05-18 17:27:50,45.7625,106.2708,59.05,35,22,10.22
240,Ishigaki,JP,2022-05-18 17:27:51,24.3448,124.1572,77.13,88,100,13.8
241,Promyshlennovskiy,RU,2022-05-18 17:27:52,55.4833,86.2,66.97,62,100,0.63
242,Codrington,AU,2022-05-18 17:27:52,-38.2667,141.9667,53.67,61,83,12.46
243,Maceio,BR,2022-05-18 17:27:52,-9.6658,-35.7353,89.04,58,40,9.22
244,Balaipungut,ID,2022-05-18 17:27:53,1.05,101.2833,76.96,95,36,2.33
245,Gouyave,GD,2022-05-18 17:27:53,12.1646,-61.7296,84.97,70,20,24.16
246,Maragogi,BR,2022-05-18 17:27:54,-9.0122,-35.2225,83.32,68,63,9.78
247,Tessalit,ML,2022-05-18 17:27:54,20.1986,1.0114,103.48,7,12,9.86
248,Hasaki,JP,2022-05-18 17:27:55,35.7333,140.8333,52.2,74,2,4.41
249,Tura,IN,2022-05-18 17:25:50,25.5198,90.2201,69.12,96,84,6.46
250,Mestia,GE,2022-05-18 17:27:56,43.0458,42.7278,44.73,87,55,2.95
251,Nabire,ID,2022-05-18 17:27:56,-3.3667,135.4833,76.08,91,59,3.47
252,Pemberton,CA,2022-05-18 17:27:57,50.3164,-122.8027,47.89,99,100,7.05
253,Along,IN,2022-05-18 17:27:57,28.1667,94.7667,69.12,99,94,1.74
254,Antiguo Morelos,MX,2022-05-18 17:27:58,22.5495,-99.0812,87.46,40,71,6.78
255,Presidencia Roque Saenz Pena,AR,2022-05-18 17:27:58,-26.7852,-60.4388,61.2,40,0,8.61
256,Ilulissat,GL,2022-05-18 17:27:59,69.2167,-51.1,32.02,80,0,9.22
257,Trinidad,BO,2022-05-18 17:27:59,-14.8333,-64.9,75.18,35,97,20.71
258,Brae,GB,2022-05-18 17:28:00,60.3964,-1.353,52.25,78,31,18.3
259,Tsagan Aman,RU,2022-05-18 17:28:00,47.5639,46.7218,61.18,52,100,5.99
260,Labuhan,ID,2022-05-18 17:28:01,-6.8844,112.2051,77.65,91,100,10.07
261,Bilibino,RU,2022-05-18 17:18:19,68.0546,166.4372,34.99,99,100,0.67
262,Macieira De Cambra,PT,2022-05-18 17:28:01,40.8594,-8.3734,65.19,55,84,8.16
263,Cabo San Lucas,MX,2022-05-18 17:27:01,22.8909,-109.9124,83.61,52,20,11.5
264,Port Blair,IN,2022-05-18 17:28:02,11.6667,92.75,77.04,100,100,4.61
265,Faanui,PF,2022-05-18 17:28:03,-16.4833,-151.75,80.49,74,100,8.7
266,Ribeira Grande,PT,2022-05-18 17:28:03,38.5167,-28.7,61.2,94,75,24.16
267,Clyde River,CA,2022-05-18 17:28:04,70.4692,-68.5914,26.83,86,100,3.44
268,Flinders,AU,2022-05-18 17:28:04,-34.5833,150.8552,50.18,71,0,1.99
269,Karratha,AU,2022-05-18 17:28:05,-20.7377,116.8463,72.72,88,39,7.56
270,Galle,LK,2022-05-18 17:25:06,6.0367,80.217,80.04,85,21,15.28
271,Namatanai,PG,2022-05-18 17:28:05,-3.6667,152.4333,78.76,83,40,4.07
272,Sorong,ID,2022-05-18 17:29:06,-0.8833,131.25,78.91,86,93,4.25
273,Port Macquarie,AU,2022-05-18 17:29:07,-31.4333,152.9167,52.9,69,68,12.73
274,Nyurba,RU,2022-05-18 17:29:07,63.2842,118.3319,42.26,74,63,8.43
275,Sycow,PL,2022-05-18 17:29:08,51.3081,17.7198,61.29,49,5,2.8
276,Ouadda,CF,2022-05-18 17:29:08,8.0777,22.4007,69.71,96,100,7.34
277,Alekseyevsk,RU,2022-05-18 17:29:09,57.8406,108.3492,57.11,81,57,7.23
